epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.7582,1.78888,2.76777,2.35882,0.00333,1,0.1775,0.08553,1.54444,3.66,2.82083,2e-05,2e-05,2e-05
2,34.616,1.64044,2.67516,2.12413,0.00333,1,0.46046,0.23209,1.17764,3.44019,2.54197,5.92756e-05,5.92756e-05,5.92756e-05
3,52.3491,1.49844,2.51929,2.0699,0.00333,1,0.61764,0.36892,0.92045,3.35812,2.29499,9.75854e-05,9.75854e-05,9.75854e-05
4,70.3197,1.24081,2.47894,1.88637,0.00333,1,0.64071,0.36922,0.8975,3.28331,2.28853,0.000134929,0.000134929,0.000134929
5,86.1212,1.07024,2.30102,1.6827,0.00333,1,0.84611,0.37295,0.91298,3.23902,2.21767,0.000171307,0.000171307,0.000171307
6,101.863,0.98602,2.05814,1.64929,0.00333,1,0.89428,0.43484,0.83908,3.22165,2.05959,0.00020672,0.00020672,0.00020672
7,118.101,1.05297,1.87839,1.55678,0.00333,1,0.83563,0.37444,0.92562,3.26602,2.0515,0.000241166,0.000241166,0.000241166
8,134.781,0.94984,1.60341,1.56571,0.003,0.9,0.5394,0.29032,1.28705,3.27581,2.28049,0.000274646,0.000274646,0.000274646
9,150.121,0.92212,1.52573,1.48888,0.003,0.9,0.69286,0.31251,1.35114,3.33545,2.33058,0.000307161,0.000307161,0.000307161
10,166.527,0.82616,1.27468,1.36798,0.00333,1,0.93564,0.46109,1.31355,3.38843,2.23259,0.00033871,0.00033871,0.00033871
11,183.306,0.91584,1.25541,1.36942,0.00333,1,0.97682,0.49616,1.22052,3.33065,2.1431,0.000369293,0.000369293,0.000369293
12,199.781,0.80971,1.30919,1.42562,0.00333,1,0.94262,0.55229,1.1457,3.2723,2.06168,0.00039891,0.00039891,0.00039891
13,216.083,0.79998,1.18656,1.35971,0.0044,1,0.93564,0.57312,1.14377,3.07283,2.11636,0.000427561,0.000427561,0.000427561
14,232.004,0.74189,1.177,1.34177,0.90436,0.94793,0.96773,0.55994,1.15104,2.93456,2.21746,0.000455246,0.000455246,0.000455246
15,248.119,0.75861,1.10368,1.28636,0.94791,0.8,0.96192,0.54967,1.21639,2.9309,2.40471,0.000481966,0.000481966,0.000481966
16,264.399,0.74335,1.01747,1.317,0.87269,0.8,0.84675,0.44905,1.57682,3.06417,2.94883,0.00050772,0.00050772,0.00050772
17,280.249,0.79072,1.08794,1.36885,0.57093,0.7,0.59306,0.31422,1.82661,3.20415,3.51349,0.000532507,0.000532507,0.000532507
18,295.408,0.75834,1.09612,1.34391,0.51908,0.4,0.62255,0.24979,2.02422,3.33505,4.17215,0.000556329,0.000556329,0.000556329
19,311.003,0.83959,1.1357,1.45231,0.68513,0.6,0.66361,0.2925,2.08218,2.93783,3.76591,0.000579185,0.000579185,0.000579185
20,326.764,0.73181,0.99801,1.30403,0.89226,0.83035,0.95833,0.57507,1.46889,2.48374,3.00617,0.000601076,0.000601076,0.000601076
21,342.077,0.6785,0.98506,1.21657,1,0.96989,0.995,0.63912,1.28938,2.30205,2.67861,0.000622,0.000622,0.000622
22,357.663,0.78919,1.02745,1.35893,0.92984,0.9,0.97192,0.61109,1.33912,2.45186,2.69507,0.000641959,0.000641959,0.000641959
23,373.626,0.73074,1.10545,1.30662,0.75185,0.90964,0.93192,0.5541,1.41027,2.549,2.91443,0.000660951,0.000660951,0.000660951
24,389.402,0.80966,1.11961,1.35133,0.96643,0.7,0.9109,0.62028,1.43415,2.40075,2.94175,0.000678978,0.000678978,0.000678978
25,405.029,0.73125,1.16317,1.33936,0.88688,0.78551,0.91444,0.56034,1.30623,2.35002,2.89138,0.000696039,0.000696039,0.000696039
26,421.56,0.87023,1.01937,1.43601,1,0.78332,0.9309,0.60245,1.16786,2.32794,2.82324,0.000712134,0.000712134,0.000712134
27,437.483,0.65924,0.92529,1.28749,0.99784,0.8,0.94885,0.62365,1.21973,2.11794,3.13432,0.000727263,0.000727263,0.000727263
28,453.476,0.82018,1.11002,1.37849,0.99784,0.8,0.94885,0.62365,1.21973,2.11794,3.13432,0.000741427,0.000741427,0.000741427
29,469.364,0.77953,1.10198,1.3422,0.99626,0.9,0.95056,0.65066,1.28957,2.04368,3.28376,0.000754624,0.000754624,0.000754624
30,485.224,0.70578,1.02829,1.27862,0.97763,0.7,0.89251,0.57246,1.38968,2.21332,3.263,0.000766856,0.000766856,0.000766856
31,500.86,0.79136,1.08655,1.32712,0.97763,0.7,0.89251,0.57246,1.38968,2.21332,3.263,0.000778122,0.000778122,0.000778122
32,516.87,0.70379,0.94932,1.31152,0.8678,0.65969,0.84489,0.40897,1.70906,2.53012,3.26395,0.000788422,0.000788422,0.000788422
33,532.685,0.7981,1.05665,1.38175,0.68829,0.5,0.52016,0.21701,1.9859,2.95911,3.25049,0.000797756,0.000797756,0.000797756
34,548.168,0.80457,0.98396,1.3735,0.68829,0.5,0.52016,0.21701,1.9859,2.95911,3.25049,0.000806124,0.000806124,0.000806124
35,563.538,0.63764,0.93242,1.26026,0.772,0.67919,0.65687,0.29637,2.01922,3.07302,3.18735,0.000813527,0.000813527,0.000813527
36,579.364,0.66489,0.94255,1.28311,0.86477,0.5,0.62404,0.25501,2.2195,3.16121,3.32252,0.000819963,0.000819963,0.000819963
37,595.067,0.70815,0.97217,1.35903,0.86477,0.5,0.62404,0.25501,2.2195,3.16121,3.32252,0.000825434,0.000825434,0.000825434
38,610.722,0.82323,0.99706,1.37624,1,0.55345,0.59541,0.32103,2.09172,2.84704,3.39156,0.000829939,0.000829939,0.000829939
39,626.353,0.69374,0.87041,1.33667,0.96697,0.6,0.67949,0.38685,1.98239,2.46689,3.21205,0.000833478,0.000833478,0.000833478
40,642.034,0.72232,0.80476,1.25001,0.96697,0.6,0.67949,0.38685,1.98239,2.46689,3.21205,0.000836051,0.000836051,0.000836051
41,657.936,0.74846,0.98674,1.29286,0.95205,0.6,0.72484,0.41382,1.65263,2.3791,2.92026,0.000837659,0.000837659,0.000837659
42,673.364,0.67413,0.85786,1.24351,0.9593,0.6,0.70092,0.39415,1.51151,2.42359,2.94011,0.0008383,0.0008383,0.0008383
43,688.495,0.75417,0.95867,1.29726,0.9593,0.6,0.70092,0.39415,1.51151,2.42359,2.94011,0.000837976,0.000837976,0.000837976
44,704.005,0.83865,0.89183,1.36845,0.79632,0.78344,0.7903,0.42737,1.5455,2.23078,3.18607,0.000836685,0.000836685,0.000836685
45,719.716,0.75199,0.90857,1.27781,0.79632,0.78344,0.7903,0.42737,1.5455,2.23078,3.18607,0.000834429,0.000834429,0.000834429
46,735.677,0.70528,0.79783,1.2842,0.74726,0.88794,0.8875,0.44052,1.66601,1.80883,3.25687,0.000831207,0.000831207,0.000831207
47,750.989,0.70097,0.8409,1.24936,0.74726,0.88794,0.8875,0.44052,1.66601,1.80883,3.25687,0.00082702,0.00082702,0.00082702
48,766.854,0.71861,0.79534,1.25954,0.93243,0.7,0.88655,0.40468,1.94338,1.67028,3.41087,0.000821866,0.000821866,0.000821866
49,782.919,0.76429,0.93903,1.35815,0.93243,0.7,0.88655,0.40468,1.94338,1.67028,3.41087,0.000815746,0.000815746,0.000815746
50,799.827,0.68022,0.8745,1.25708,0.68687,0.9,0.88346,0.43737,1.82462,1.71642,3.15077,0.000808661,0.000808661,0.000808661
51,815.428,0.86487,0.97079,1.43376,0.68687,0.9,0.88346,0.43737,1.82462,1.71642,3.15077,0.000792683,0.000792683,0.000792683
52,831.187,0.78987,0.92106,1.31426,0.74444,0.87554,0.79844,0.4304,1.6526,2.0734,2.95715,0.000768537,0.000768537,0.000768537
53,846.746,0.60614,0.78872,1.24467,0.74444,0.87554,0.79844,0.4304,1.6526,2.0734,2.95715,0.00074439,0.00074439,0.00074439
54,862.425,0.74883,0.85516,1.31066,0.79701,0.78656,0.84698,0.49205,1.37655,1.89756,2.571,0.000720244,0.000720244,0.000720244
55,877.403,0.68224,0.88789,1.26866,0.79701,0.78656,0.84698,0.49205,1.37655,1.89756,2.571,0.000696098,0.000696098,0.000696098
56,892.475,0.60823,0.73881,1.17363,0.79727,0.78773,0.7772,0.47182,1.40036,1.72664,2.48523,0.000671951,0.000671951,0.000671951
57,908.007,0.63279,0.82599,1.23655,0.79727,0.78773,0.7772,0.47182,1.40036,1.72664,2.48523,0.000647805,0.000647805,0.000647805
58,923.525,0.60108,0.74222,1.1747,0.87458,0.8,0.85328,0.56849,1.35994,1.7512,2.48168,0.000623659,0.000623659,0.000623659
59,938.424,0.66995,0.86529,1.28856,0.87458,0.8,0.85328,0.56849,1.35994,1.7512,2.48168,0.000599512,0.000599512,0.000599512
60,953.681,0.68118,0.81194,1.30548,0.79543,0.77943,0.82266,0.5698,1.22947,1.79,2.40878,0.000575366,0.000575366,0.000575366
61,968.991,0.56824,0.78431,1.18179,0.79543,0.77943,0.82266,0.5698,1.22947,1.79,2.40878,0.00055122,0.00055122,0.00055122
62,985.339,0.61935,0.76614,1.28763,0.84203,0.7,0.83266,0.55609,1.18742,1.81984,2.35563,0.000527073,0.000527073,0.000527073
63,1000.62,0.74242,0.77151,1.29969,0.84203,0.7,0.83266,0.55609,1.18742,1.81984,2.35563,0.000502927,0.000502927,0.000502927
64,1016.14,0.7084,0.78162,1.30965,0.99988,0.8,0.86557,0.60209,1.15504,1.59096,2.29899,0.00047878,0.00047878,0.00047878
65,1031.32,0.59465,0.73179,1.19966,0.99988,0.8,0.86557,0.60209,1.15504,1.59096,2.29899,0.000454634,0.000454634,0.000454634
66,1046.89,0.69798,0.80368,1.23748,0.97054,0.8,0.79739,0.64377,1.16222,1.48028,2.26206,0.000430488,0.000430488,0.000430488
67,1062.23,0.66162,0.76,1.23433,0.97054,0.8,0.79739,0.64377,1.16222,1.48028,2.26206,0.000406341,0.000406341,0.000406341
68,1077.2,0.59209,0.70226,1.16208,0.98119,0.8,0.7976,0.57811,1.28977,1.46349,2.31452,0.000382195,0.000382195,0.000382195
69,1092.37,0.65879,0.76285,1.24208,0.98119,0.8,0.7976,0.57811,1.28977,1.46349,2.31452,0.000358049,0.000358049,0.000358049
70,1107.99,0.58516,0.73833,1.17743,0.98029,0.8,0.79716,0.56207,1.29107,1.50033,2.36682,0.000333902,0.000333902,0.000333902
71,1123.26,0.53274,0.75724,1.16122,0.98029,0.8,0.79716,0.56207,1.29107,1.50033,2.36682,0.000309756,0.000309756,0.000309756
72,1138.49,0.54607,0.72545,1.23206,0.97558,0.8,0.79922,0.56885,1.20713,1.47981,2.32087,0.00028561,0.00028561,0.00028561
73,1153.72,0.94701,1.93643,1.6944,0.97558,0.8,0.79922,0.56885,1.20713,1.47981,2.32087,0.000261463,0.000261463,0.000261463
74,1169.03,0.90762,1.86134,1.71143,0.93994,0.8,0.83423,0.55169,1.17871,1.43652,2.38727,0.000237317,0.000237317,0.000237317
75,1184.43,0.87546,2.284,1.53261,0.93994,0.8,0.83423,0.55169,1.17871,1.43652,2.38727,0.000213171,0.000213171,0.000213171
76,1199.71,0.7724,1.54839,1.47133,1,0.98754,0.995,0.58468,1.12498,1.2722,2.40963,0.000189024,0.000189024,0.000189024
77,1214.52,0.72442,1.4145,1.57439,1,0.98754,0.995,0.58468,1.12498,1.2722,2.40963,0.000164878,0.000164878,0.000164878
78,1229.63,0.60878,1.51823,1.3717,0.98922,0.9,0.98591,0.5957,1.15375,1.1829,2.46536,0.000140732,0.000140732,0.000140732
79,1245.11,0.61795,1.16994,1.41771,0.98922,0.9,0.98591,0.5957,1.15375,1.1829,2.46536,0.000116585,0.000116585,0.000116585
80,1260.28,0.52456,1.31706,1.26023,1,0.99122,0.995,0.61184,1.12953,1.19177,2.43972,9.2439e-05,9.2439e-05,9.2439e-05
81,1275.12,0.52283,1.07534,1.27154,1,0.99122,0.995,0.61184,1.12953,1.19177,2.43972,6.82927e-05,6.82927e-05,6.82927e-05
