epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54427,1.78888,2.76777,2.35882,0.00333,1,0.1775,0.08553,1.54444,3.66,2.82083,2e-05,2e-05,2e-05
2,20.3664,1.64067,2.675,2.12414,0.00333,1,0.4605,0.23213,1.17405,3.43653,2.53635,5.99244e-05,5.99244e-05,5.99244e-05
3,31.2653,1.4972,2.5175,2.06738,0.00333,1,0.60171,0.35027,0.91408,3.35835,2.29177,9.97481e-05,9.97481e-05,9.97481e-05
4,41.6086,1.2296,2.46948,1.87307,0.00333,1,0.64802,0.37311,0.90314,3.27643,2.27952,0.000139471,0.000139471,0.000139471
5,52.5085,1.0368,2.27177,1.65672,0.00333,1,0.88012,0.46011,0.88408,3.23893,2.20611,0.000179093,0.000179093,0.000179093
6,64.1215,0.97552,2.02738,1.64362,0.00333,1,0.87903,0.52496,0.77974,3.18172,2.01264,0.000218615,0.000218615,0.000218615
7,74.7973,1.01978,1.83276,1.53373,0.00333,1,0.75992,0.39232,0.83019,3.21599,1.92788,0.000258035,0.000258035,0.000258035
8,86.2351,0.88701,1.58439,1.52688,0.00333,1,0.81503,0.34811,1.06684,3.23047,2.19867,0.000297355,0.000297355,0.000297355
9,97.3114,0.96485,1.53761,1.53215,0.00333,1,0.82676,0.47023,1.00619,3.19321,2.03699,0.000336574,0.000336574,0.000336574
10,108.461,0.84234,1.28168,1.35993,0.00333,1,0.88894,0.50741,0.96756,3.16541,1.95545,0.000375692,0.000375692,0.000375692
11,118.992,0.86293,1.23055,1.36372,0.00333,1,0.85738,0.51369,0.91456,3.14668,1.93977,0.00041471,0.00041471,0.00041471
12,129.963,0.83803,1.37212,1.435,0.00333,1,0.78879,0.4539,0.93374,3.05757,1.8981,0.000453627,0.000453627,0.000453627
13,141.143,0.88177,1.24001,1.39826,1,0.4417,0.86411,0.54061,0.94301,2.8863,1.95495,0.000492443,0.000492443,0.000492443
14,152.307,0.74341,1.18136,1.3696,1,0.65336,0.92675,0.55995,1.02188,2.7354,2.04943,0.000531158,0.000531158,0.000531158
15,163.853,0.78855,1.0844,1.31165,1,0.64727,0.98591,0.59977,1.04554,2.82088,2.15179,0.000569773,0.000569773,0.000569773
16,175.298,0.77675,1.09,1.33211,0.00333,1,0.96833,0.57717,1.12111,3.04806,2.39045,0.000608286,0.000608286,0.000608286
17,186.841,0.82737,1.15343,1.41551,0.00333,1,0.90833,0.42006,1.41338,3.26999,2.77059,0.000646699,0.000646699,0.000646699
18,198.107,0.79994,1.27709,1.36866,0.003,0.9,0.74416,0.37932,1.68503,3.35825,3.14401,0.000685011,0.000685011,0.000685011
